publication_id,publication_name,dataset_id,dataset_name,dataset_type,publication_no_active
14,В целом по Российской Федерации,25,Ставки по кредитам нефинансовым организациям,1,0
14,В целом по Российской Федерации,26,Ставки по кредитам нефинансовым организациям-субъектам МСП,1,0
14,В целом по Российской Федерации,27,Ставки по кредитам физическим лицам,1,0
14,В целом по Российской Федерации,28,Ставки по автокредитам,1,0
14,В целом по Российской Федерации,29,Ставки по ипотечным жилищным кредитам,2,0
15,В территориальном разрезе,30,Ставки по кредитам нефинансовым организациям в рублях,1,0
15,В территориальном разрезе,31,Ставки по кредитам нефинансовым организациям-субъектам МСП в рублях,1,0
15,В территориальном разрезе,32,Ставки по кредитам физическим лицам в рублях,1,0
15,В территориальном разрезе,33,Ставки по автокредитам в рублях,1,0
15,В территориальном разрезе,34,Ставки по ипотечным жилищным кредитам,1,0
16,В разрезе по видам экономической деятельности,35,Ставки по кредитам нефинансовым организациям,1,0
16,В разрезе по видам экономической деятельности,36,Ставки по кредитам нефинансовым организациям-субъектам МСП,1,0
18,В целом по Российской Федерации,37,Ставки по вкладам (депозитам) физических лиц,1,0
18,В целом по Российской Федерации,38,Ставки по вкладам (депозитам) нефинансовых организаций,1,0
19,В территориальном разрезе,39,Ставки по вкладам (депозитам) физических лиц в рублях,1,0
19,В территориальном разрезе,40,Ставки по вкладам (депозитам) нефинансовых организаций в рублях,1,0
20,По кредитам физическим лицам,41,Объем кредитов,1,0
20,По кредитам физическим лицам,42,Задолженность по кредитам,1,0
20,По кредитам физическим лицам,43,Просроченная задолженность по кредитам,1,0
21,По ипотечным жилищным кредитам,44,Количество кредитов,1,0
21,По ипотечным жилищным кредитам,45,Объем кредитов,1,0
21,По ипотечным жилищным кредитам,46,Задолженность по кредитам,1,0
21,По ипотечным жилищным кредитам,55,Сезонно скорректированная задолженность по кредитам,2,0
21,По ипотечным жилищным кредитам,56,Сезонно скорректированная задолженность по кредитам с учетом приобретенных кредитными организациями прав требования,2,0
