dataset_id,measure_id,measure_name
35,7,"A. Сельское, лесное хозяйство, охота, рыболовство и рыбоводство"
35,8,B. Добыча полезных ископаемых
35,9,C. Обрабатывающие производства
35,10,"D. Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
35,11,"E. Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"
35,12,F. Строительство
35,13,G. Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов
35,14,H. Транспортировка и хранение
35,15,I. Деятельность гостиниц и предприятий общественного питания
35,16,J. Деятельность в области информации и связи
35,17,L. Деятельность по операциям с недвижимым имуществом
35,18,"M. Деятельность профессиональная, научная и техническая"
35,19,P. Образование
35,20,"R. Деятельность в области культуры, спорта, организации досуга и развлечений"
35,21,Прочее
36,7,"A. Сельское, лесное хозяйство, охота, рыболовство и рыбоводство"
36,8,B. Добыча полезных ископаемых
36,9,C. Обрабатывающие производства
36,10,"D. Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
36,11,"E. Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"
36,12,F. Строительство
36,13,G. Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов
36,14,H. Транспортировка и хранение
36,15,I. Деятельность гостиниц и предприятий общественного питания
36,16,J. Деятельность в области информации и связи
36,17,L. Деятельность по операциям с недвижимым имуществом
36,18,"M. Деятельность профессиональная, научная и техническая"
36,19,P. Образование
36,20,"R. Деятельность в области культуры, спорта, организации досуга и развлечений"
36,21,Прочее
33,23,Центральный федеральный округ
33,42,Северо-Западный федеральный округ
33,55,Южный федеральный округ
33,64,Северо-Кавказский федеральный округ
33,72,Приволжский федеральный округ
33,87,Уральский федеральный округ
33,95,Сибирский федеральный округ
33,106,Дальневосточный федеральный округ
40,23,Центральный федеральный округ
40,42,Северо-Западный федеральный округ
40,55,Южный федеральный округ
40,64,Северо-Кавказский федеральный округ
40,72,Приволжский федеральный округ
40,87,Уральский федеральный округ
40,95,Сибирский федеральный округ
40,106,Дальневосточный федеральный округ
39,23,Центральный федеральный округ
39,42,Северо-Западный федеральный округ
39,55,Южный федеральный округ
39,64,Северо-Кавказский федеральный округ
39,72,Приволжский федеральный округ
39,87,Уральский федеральный округ
39,95,Сибирский федеральный округ
39,106,Дальневосточный федеральный округ
34,22,Российская Федерация
34,23,Центральный федеральный округ
34,24,Белгородская область
34,25,Брянская область
34,26,Владимирская область
34,27,Воронежская область
34,28,Ивановская область
34,29,Калужская область
